课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,49,2526121018665001,Photoshop实战01班,21018665,Photoshop实战,2,信息学院,公共选修课,谢红,"*|2022|*|可选,*|2025|*|可选,*|2024|*|可选,*|2023|*|可选",35,0,"1: 1-16周, 单双周,星期四, 11-12节, 教三3506;",
,50,2526121018666001,实用python编程01班,21018666,实用python编程,2,信息学院,公共选修课,杨刚,"*|2025|*|可选,*|2024|*|可选,*|2023|*|可选,*|2022|*|可选",30,3,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 理工配楼二层; 2: 5周, 单双周,星期六, 5-6节, 理工配楼二层;",
,1,2526121018667001,Stata软件在计量经济学中的应用（初级）01班,21018667,Stata软件在计量经济学中的应用（初级）,2,农业与农村发展学院,公共选修课,王姮,*|*|*|可选,30,0,"1: 10周, 单双周,星期六, 5-6节, 明商0207; 2: 1-5,7-16周, 单双周,星期一, 5-6节, 明商0207; 3: 6周, 单双周,星期一, 5-6节, 明商0207;",
,2,2526121018667002,Stata软件在计量经济学中的应用（初级）02班,21018667,Stata软件在计量经济学中的应用（初级）,2,农业与农村发展学院,公共选修课,王姮,*|*|*|可选,30,0,"1: 11周, 单双周,星期四, 13-14节, 教二2201; 2: 1-4,6-16周, 单双周,星期四, 11-12节, 教二2201; 3: 5周, 单双周,星期四, 11-12节, 教二2201;",
,3,2526121018669001,数字营销01班,21018669,数字营销,2,新闻学院,专业核心课,张亚斐,"（艺）2023创意传播实验班1班,2023新闻传播学类[1-2]班,2022新闻学3班（体育班）,2023“传播学-公共管理”双学士学位复合型人才培养项目1班,2023新闻传播学类[1-2......",45,3,"1: 1-16周, 单双周,星期一, 3-4节, 明新0201;",
,4,2526121018671002,文化创业02班,21018671,文化创业,2,新闻学院,个性化选修,翁昌寿,"2023新闻传播学类[1-2]班,2022新闻学3班（体育班）,2023新闻传播学类[1-2]班（留学生）,2023创意传播实验班,2023“国际新闻与传播-西班牙语”联合学士学位项目,2......",43,3,"1: 1-4,6-16周, 单双周,星期二, 9-10节, 明新0301; 2: 3周, 单双周,星期日, 9-10节, 明新0301;",
,5,2526121018673001,资本市场与金融创新01班,21018673,资本市场与金融创新,2,法学院,个性化选修,"刘俊海,统计学院","2023法学[1-3]班,商学院2023级工商-法学双学位班,2023工商管理-法学双学士学位项目班",40,0,"1: 1-7,9-16周, 单双周,星期四, 11-12节, 明商0105; 2: 8周, 单双周,星期四, 11-12节, 明商0105;",
,6,2526121018677001,Photoshop应用01班,21018677,Photoshop应用,2,信息学院,公共选修课,谢红,"*|2022|*|可选,*|2025|*|可选,*|2024|*|可选,*|2023|*|可选",35,5,"1: 1-16周, 单双周,星期四, 9-10节, 教三3506;",
,7,2526121018691001,金融统计问题概览01班,21018691,金融统计问题概览,2,统计学院,个性化选修,甄峰,"2023统计-公共管理实验班1班,2023经济统计学[1-2]班,2023统计-公共管理实验班",45,8,"1: 1-4,6-8周, 单双周,星期三, 11-14节, 明法0102; 2: 5周, 单双周,星期六, 11-14节, 明法0102;",
,8,2526121018711001,Python程序设计01班,21018711,Python程序设计,2,信息学院,人工智能与数据技术平台课,孙辉,"2025涉外法治战略人才班1班,2025历史政治学拔尖人才班1班,（艺）2024创意传播实验班1班,2025“智农”创新人才班1班,2025人力资源管理类[1-4]班,2025法学[1-3......",37,0,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 明德地下B; 2: 1-4,6-16周, 单双周,星期二, 9-10节, 明德地下B; 3: 3周, 单双周,星期日, 7-8节, 明德地下B; 4: 3周, 单双周,星期日, 9-10节, 明德地下B;",
