课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,1,2526121000116001,产业组织理论01班,21000116,产业组织理论,2,生态环境学院,个性化选修,严冬,"2022明德环境“经济学-科学”拔尖人才实验班1班,2022资源与环境经济学1班",60,6,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 教二2102; 2: 3周, 单双周,星期日, 7-8节, 教二2102;",
,2,2526121000159001,西方马克思主义经济学01班,21000159,西方马克思主义经济学,2,经济学院,个性化选修,陈伟凯,"2022经济学类[1-4]班,2022经济学（中国特色经济学方向）拔尖班,2023经济学（中国特色经济学方向）拔尖班",40,10,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 立德508; 2: 3周, 单双周,星期日, 7-8节, 立德508;",
,3,2526121000184001,档案文献编纂学01班,21000184,档案文献编纂学,3,信息资源管理学院,专业核心课,梁继红,"2023数字社会与数据治理实验班1班,2023级信息资源管理大类班,2023级新路引航班,2023“社会学+信息资源管理”双学士学位班",25,5,"1: 1-16周, 单双周,星期一, 1-3节, 教二2112;",
,4,2526121000199001,德语国家历史01班,21000199,德语国家历史,2,外国语学院,个性化选修,STEFFENSMARCELMAURICEMANUEL,"2023涉外法治实验班1班,2023德语1班,2023涉外法治双学士学位项目班",20,0,"1: 1-16周, 单双周,星期四, 3-4节, 立德309;",
,5,2526121000217001,地籍管理01班,21000217,地籍管理,3,公共管理学院,专业核心课,"张书海,张秀智","2023统计-公共管理实验班1班,2023土地资源管理1班,2023统计-公共管理实验班",37,5,"1: 1-4,6-16周, 单双周,星期二, 11-13节, 教三3309; 2: 3周, 单双周,星期日, 11-13节, 教三3309;",
,6,2526121000232001,调查技术与方法01班,21000232,调查技术与方法,2,统计学院,个性化选修,胡以松,"*|2024|*|可选,*|2023|*|可选,*|2022|*|可选",40,0,"1: 1-16周, 单双周,星期一, 11-12节, 教二2119;",
,7,2526121000269001,法国概况01班,21000269,法国概况,2,外国语学院,专业核心课,GATTANO MARC,"2024全球治理与国际事务实验班1班,外院2024涉外法治双学士学位复合型人才培养项目1班,2024法语1班,2024涉外法治双学士学位复合型人才培养项目1班",20,0,"1: 1-16周, 单双周,星期四, 11-12节, 明国0205;",
,8,2526121000340002,概率论02班,21000340,概率论,4,统计学院,专业核心课,范新妍,"2024统计学（统计与数据科学）拔尖班1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024“应用经济-数据科学”双学士学位复合型人才培养项目1班,2024经济统计学[......",104,7,"1: 1-16周, 单双周,星期一, 3-4节, 求是0224; 2: 1-16周, 单双周,星期五, 7-8节, 求是0224;",
,9,2526121000340003,概率论01班,21000340,概率论,4,统计学院,专业核心课,尹建鑫,"2024统计学（统计与数据科学）拔尖班1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024“应用经济-数据科学”双学士学位复合型人才培养项目1班,2024经济统计学[......",104,7,"1: 1-16周, 单双周,星期一, 1-2节, 求是0120; 2: 1-16周, 单双周,星期五, 7-8节, 求是0120;",
,10,2526121000342001,概率论与数理统计01班,21000342,概率论与数理统计,4,数学学院,专业核心课,刘青阳,"2024明德环境“经济学-科学”实验班1班,2024理科试验班1班",60,5,"1: 1-16周, 单双周,星期一, 1-2节, 教一1204; 2: 1-4,6-16周, 单双周,星期三, 1-2节, 教一1204; 3: 5周, 单双周,星期六, 1-2节, 教一1204;",
,11,2526121000342003,概率论与数理统计01班,21000342,概率论与数理统计,4,信息学院,专业核心课,"李亚平,李亚平,李亚平","2024金融学-数据科学与大数据技术(工学)实验班1班,2024信息管理与信息系统拔尖人才实验班1班,2024级理科试验班（计算机类）[1-2]班,2024“大数据技术-农林经济管理”双学......",73,5,"1: 1-4,6-16周, 单双周,星期二, 1-2节, 教二2109; 2: 1-16周, 单双周,星期四, 9-10节, 教二2109; 3: 3周, 单双周,星期日, 1-2节, 教二2109;",
,12,2526121000342004,概率论与数理统计02班,21000342,概率论与数理统计,4,信息学院,专业核心课,"人口学系,赵素云","2024金融学-数据科学与大数据技术(工学)实验班1班,2024信息管理与信息系统拔尖人才实验班1班,2024级理科试验班（计算机类）[1-2]班,2024“大数据技术-农林经济管理”双学......",75,5,"1: 10周, 单双周,星期四, 9-10节, 教二2119; 2: 1-4,6-16周, 单双周,星期二, 1-2节, 教二2119; 3: 1-9,11-16周, 单双周,星期四, 9-10节, 教二2119; 4: 3周, 单双周,星期日, 1-2节, 教二2119;",
,13,2526121000342005,概率论与数理统计05班,21000342,概率论与数理统计,4,高瓴人工智能学院,专业核心课,陈旭,2024人工智能拔尖班[1-2]班,80,2,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 教一1403; 2: 1-16周, 单双周,星期四, 9-10节, 教一1403; 3: 3周, 单双周,星期日, 7-8节, 教一1403;",
,14,2526121000356001,个案工作01班,21000356,个案工作,3,社会学院,专业核心课,吴蕾,2024社会学类[1-4]班,20,5,"1: 1-16周, 单双周,星期一, 7-9节, 教二2204;",
,15,2526121000376001,公共政策导论01班,21000376,公共政策导论,2,国际关系学院,个性化选修,林红,"2023政治学、经济学与哲学专业（PPE实验班）1班,2023“政治学-历史学”双学士学位人才培养项目1班,2023“政治学-历史学”双学士学位复合型人才培养项目1班,2023国际政治（留......",32,1,"1: 1-16周, 单双周,星期四, 3-4节, 明商0104;",
,16,2526121000409001,管理学原理01班,21000409,管理学原理,3,农业与农村发展学院,部类共同,陈卫平,"2025“智农”创新人才班1班,2025农业经济管理类1班",25,3,"1: 1-16周, 单双周,星期四, 11-13节, 立德412;",
,17,2526121000409003,管理学原理02班,21000409,管理学原理,3,农业与农村发展学院,部类共同,张利庠,2025农业经济管理类1班,55,8,"1: 1-4,6-16周, 单双周,星期三, 1-3节, 明法0402; 2: 5周, 单双周,星期六, 1-3节, 明法0402;",
,18,2526121000409005,管理学原理02班,21000409,管理学原理,3,劳动人事学院,部类共同,毛凯贤,2025人力资源管理类[1-2]班,60,10,"1: 1-4,6-16周, 单双周,星期三, 11-13节, 立德403; 2: 5周, 单双周,星期六, 11-13节, 立德403;",
,19,2526121000409006,管理学原理03班,21000409,管理学原理,3,劳动人事学院,部类共同,赵锴,2025人力资源管理类4班,35,5,"1: 1-16周, 单双周,星期一, 7-9节, 立德703;",
,20,2526121000409004,管理学原理01班,21000409,管理学原理,3,劳动人事学院,部类共同,骆南峰,2025人力资源管理类3班,35,5,"1: 1-16周, 单双周,星期四, 11-13节, 立德706;",
,21,2526121000436001,国际冲突与控制01班,21000436,国际冲突与控制,2,国际关系学院,个性化选修,方长平,"2023国际政治班,2023国际政治（国际政治经济学方向）班",30,1,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 明商0104; 2: 3周, 单双周,星期日, 7-8节, 明商0104;",
,22,2526121000440001,国际法01班,21000440,国际法,3,法学院,专业核心课,余民才,"2024法学-劳关（全球劳动治理）实验班1班,2024法学-劳动关系（全球劳动治理）实验班1班,外院2024涉外法治双学士学位复合型人才培养项目1班,2024“工商管理-法学”双学士学位复......",108,5,"1: 1-16周, 单双周,星期一, 7-9节, 明法0302;",
,23,2526121000440002,国际法02班,21000440,国际法,3,法学院,专业核心课,刘洋,"2024涉外法治人才协同培养创新基地班1班,2024“工商管理-法学”双学士学位复合型人才培养项目1班,2024法学[1-3]班",108,5,"1: 1-4,6-16周, 单双周,星期二, 7-9节, 明法0201; 2: 3周, 单双周,星期日, 7-9节, 明法0201;",
,24,2526121000444001,国际关系史PPE班,21000444,国际关系史,3,国际关系学院,专业核心课,罗天虹,2025政治学、经济学与哲学专业（PPE实验班）1班,30,1,"1: 1-4,6-16周, 单双周,星期三, 11-13节, 立德412; 2: 5周, 单双周,星期六, 11-13节, 立德412;",
,25,2526121000444002,国际关系史01班,21000444,国际关系史,3,国际关系学院,部类基础,吴征宇,2025国际政治类1班,30,1,"1: 1-4,6-16周, 单双周,星期三, 11-13节, 立德508; 2: 5周, 单双周,星期六, 11-13节, 立德508;",
,26,2526121000444003,国际关系史03班,21000444,国际关系史,3,国际关系学院,部类基础,闫瑾,2025国际政治类3班,30,1,"1: 1-4,6-16周, 单双周,星期三, 11-13节, 明国0305; 2: 5周, 单双周,星期六, 11-13节, 明国0305;",
,27,2526121000444004,国际关系史04班,21000444,国际关系史,3,国际关系学院,专业核心课,李晨,2025历史政治学拔尖人才班1班,20,0,"1: 1-4,6-16周, 单双周,星期三, 11-13节, 明商0105; 2: 5周, 单双周,星期六, 11-13节, 明商0105;",
,28,2526121000444005,国际关系史02班,21000444,国际关系史,3,国际关系学院,部类基础,王召东,2025国际政治类2班,30,1,"1: 12周, 单双周,星期三, 11-13节, 立德402; 2: 1-4,6-11,13-16周, 单双周,星期三, 11-13节, 立德402; 3: 13周, 单双周,星期二, 11-13节, 教二2106; 4: 5周, 单双周,星期六, 11-13节, 立德402;",
,29,2526121000448001,国际金融01班,21000448,国际金融,2,经济学院,专业核心课,胡曙光,2023经济学类[1-4]班,40,5,"1: 1-16周, 单双周,星期五, 3-4节, 明商0207;",
,30,2526121000460001,国际经济学01班,21000460,国际经济学,3,经济学院,专业核心课,"刘青,刘青","2023经济社会历史科学实验班（ESH）1班,2023经济学、社会学与历史学实验班（ESH实验班）,2023经济社会历史（ESH）班",25,0,"1: 1-5,7周, 单双周,星期四, 11-13节, 教三3406; 2: 6周, 单双周,星期四, 11-13节, 教三3406; 3: 7周, 单双周,星期三, 7-9节, 明商0401; 4: 8-16周, 单双周,星期四, 11-13节, 明新0205;",
,31,2526121000476001,国际税收01班,21000476,国际税收,3,财政金融学院,专业核心课,张文春,"2023级本科金融学[1-4]班,2023“财政学-数学”双学士学位复合型人才培养项目1班,2023级本科金融工程班,2023级本科“财政学-数学”创新人才班,2023级本科保险班,202......",71,4,"1: 1-16周, 单双周,星期五, 11-13节, 明法0202;",
,32,2526121000479001,国际文化思潮01班,21000479,国际文化思潮,2,国际关系学院,个性化选修,邱静,"2022国际政治（留学生）[1-2]班,2022外交学1班,2022外交学（留学生）1班,2022政治学与行政学1班",35,1,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 立德703; 2: 3周, 单双周,星期日, 7-8节, 立德703;",
,33,2526121000497001,国民经济核算02班,21000497,国民经济核算,3,统计学院,专业核心课,李静萍,"2023统计-公共管理实验班1班,2023经济统计学[1-2]班,2023统计-公共管理实验班",60,10,"1: 1-4,6-16周, 单双周,星期二, 1-3节, 明法0102; 2: 3周, 单双周,星期日, 1-3节, 明法0102;",
,34,2526121000498001,国民经济核算概论01班,21000498,国民经济核算概论,2,应用经济学院,个性化选修,夏明,"2022级应用经济学院经济学类[1-2]班,2023级应用经济学院经济学类2班,2023国民经济管理1班,2023应用经济-农村区域发展管理双学士学位复合型人才培养项目1班,2023应用经......",50,1,"1: 1-16周, 单双周,星期四, 3-4节, 教三3205;",
,35,2526121000517001,环境法01班,21000517,环境法,2,法学院,专业核心课,曹炜,"2023法学[1-3]班,2023法学-新闻学双学位学士项目班",40,0,"1: 1-16周, 单双周,星期一, 7-8节, 明新0201;",
,36,2526121000517002,环境法02班,21000517,环境法,2,法学院,专业核心课,丁霖,"2023法学[1-3]班,2023法学-新闻学双学位学士项目班",40,0,"1: 1-11,13-16周, 单双周,星期一, 7-8节, 明商0105; 2: 12周, 单双周,星期一, 7-8节, 明商0105;",
,37,2526121000533001,环境系统分析01班,21000533,环境系统分析,2,生态环境学院,个性化选修,周景博,"2023明德环境“经济学-科学”拔尖人才实验班1班,2023资源与环境经济学1班",30,3,"1: 1-16周, 单双周,星期五, 7-8节, 教二2114;",
,38,2526121000544001,会计学24级院选1班,21000544,会计学,3,商学院,部类基础,刘松青,商学院2024级本科[1-6]班,48,0,"1: 1-4,6-16周, 单双周,星期三, 11-13节, 明法0402; 2: 5周, 单双周,星期六, 11-13节, 明法0402;",
,39,2526121000544002,会计学24级院选3班,21000544,会计学,3,商学院,部类基础,曹伟,商学院2024级本科[1-6]班,48,0,"1: 1-4,6-16周, 单双周,星期三, 11-13节, 明商0202; 2: 5周, 单双周,星期六, 11-13节, 明商0202;",
,40,2526121000544003,会计学24级院选2班,21000544,会计学,3,商学院,部类基础,袁蓉丽,商学院2024级本科[1-6]班,46,0,"1: 1-4,6-16周, 单双周,星期三, 11-13节, 明商0302; 2: 5周, 单双周,星期六, 11-13节, 明商0302;",
,41,2526121000544004,会计学24级院选4班,21000544,会计学,3,商学院,部类基础,李会太,商学院2024级本科[1-6]班,48,0,"1: 1-4,6-16周, 单双周,星期三, 11-13节, 明商0204; 2: 5周, 单双周,星期六, 11-13节, 明商0204;",
,42,2526121000544005,会计学24级营数必修,21000544,会计学,3,商学院,学科基础,宋建波,"2024“数据科学-营销管理”实验班,商学院2024级营管-数科班",26,0,"1: 1-4,6-16周, 单双周,星期三, 1-3节, 明商0302; 2: 5周, 单双周,星期六, 1-3节, 明商0302;",
,43,2526121000544006,会计学24级商法必修,21000544,会计学,3,商学院,学科基础,宋建波,"2024“工商管理-法学”双学士学位复合型人才培养项目1班,商学院2024级商法双学位班",25,0,"1: 1-16周, 单双周,星期一, 7-9节, 明商0207;",
,44,2526121000572001,计量经济学01班,21000572,计量经济学,4,经济学院,学科基础,王莹,"2023经济社会历史科学实验班（ESH）1班,2023经济学、社会学与历史学实验班（ESH实验班）,2023经济社会历史（ESH）班",25,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 明商0206; 2: 1-16周, 单双周,星期四, 7-8节, 明商0206; 3: 3周, 单双周,星期日, 3-4节, 明商0206;",
,45,2526121000602001,健美1,21000602,健美,1,体育部,公共体育,吴永宏,"2025生态经济拔尖人才班1班,2025“国民经济—数据科学”创新人才班1班,2025化学拔尖人才实验班1班,2025严济慈物理学拔尖人才班1班,2025数据计算及应用（智能科学）拔尖人才......",28,,"1: 1-16周, 单双周,星期一, 3-4节, 世纪馆B202;",
,46,2526121000602002,健美2,21000602,健美,1,体育部,公共体育,李林,*|*|*|可选,21,0,"1: 1-16周, 单双周,星期一, 9-10节, 世纪馆B202;",
,47,2526121000602003,健美3,21000602,健美,1,体育部,公共体育,吴永宏,"2024理科试验班1班,2024数学拔尖班1班,2024人工智能拔尖班[1-2]班,2024信息管理与信息系统拔尖人才实验班1班,2024“经济学-数学”双学士学位1班,2024级理科试验......",29,0,"1: 1-16周, 单双周,星期四, 3-4节, 世纪馆B202;",
,48,2526121000602004,健美4,21000602,健美,1,体育部,公共体育,吴升扣,"2024国际新闻全英文实验班1班,2024全球治理与国际事务实验班1班,2024法学-劳动关系（全球劳动治理）实验班1班,2024涉外法治人才协同培养创新基地班1班,2024数字社会与数据......",21,0,"1: 1-16周, 单双周,星期四, 7-8节, 拳道馆乒乓厅;",
,49,2526121000602005,健美5,21000602,健美,1,体育部,公共体育,吴永宏,"2024国际新闻全英文实验班1班,2024全球治理与国际事务实验班1班,2024法学-劳动关系（全球劳动治理）实验班1班,2024涉外法治人才协同培养创新基地班1班,2024数字社会与数据......",26,,"1: 1-16周, 单双周,星期四, 7-8节, 世纪馆B202;",
,50,2526121000602006,健美6,21000602,健美,1,体育部,公共体育,吴升扣,"2025“涉外法治”创新人才班1班,2025创意传播实验班1班,2025国际新闻全英文实验班1班,2024音乐表演（管弦方向）[1-2]班,2024音乐表演专业（古琴方向）1班,2024视......",30,0,"1: 1-16周, 单双周,星期五, 7-8节, 拳道馆乒乓厅;",
,1,2526121000606001,金融法01班,21000606,金融法,2,法学院,个性化选修,朱大旗,"2023涉外法治实验班1班,2023法学[1-3]班,2023涉外法治双学士学位项目班,商学院2023级工商-法学双学位班,2023工商管理-法学双学士学位项目班",30,5,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 明商0105; 2: 5周, 单双周,星期六, 3-4节, 明商0105;",
,2,2526121000624001,经济社会学01班,21000624,经济社会学,2,社会学院,个性化选修,王水雄,"2023数字社会与数据治理实验班1班,2023社会学类[1-4]班,2023经济社会历史科学实验班（ESH）1班,2022经济学、社会学与历史学实验班（ESH实验班）,2023经济学、社会......",40,3,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 教三3307; 2: 3周, 单双周,星期日, 7-8节, 教三3307;",
,3,2526121000656001,篮球1,21000656,篮球,1,体育部,公共体育,杜金萍,"2025理科试验班[1-2]班,2025“金融学—数学”创新人才班1班,2025级“金融科技”创新人才班[1-2]班,2025数学拔尖班1班,2025“智农”创新人才班1班,2025图灵计......",30,,"1: 1-16周, 单双周,星期一, 1-2节, 世纪馆B208;",
,4,2526121000656002,篮球10,21000656,篮球,1,体育部,公共体育,王忠瑞,"2025人文科学试验班[1-2]班,2024农业经济管理类1班,2024马克思主义理论1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024中国古典学1班,202421......",29,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 室外篮球场篮球场; 2: 3周, 单双周,星期日, 3-4节, 室外篮球场篮球场;",
,5,2526121000656003,篮球11,21000656,篮球,1,体育部,公共体育,杨宏峰,"2025人文科学试验班[1-2]班,2024农业经济管理类1班,2024马克思主义理论1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024中国古典学1班,202421......",30,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 世纪馆B206; 2: 3周, 单双周,星期日, 3-4节, 世纪馆B206;",
,6,2526121000656004,篮球12,21000656,篮球,1,体育部,公共体育,李树旺,"2024古典学拔尖班1班,2024哲学强基班1班,2024明德书院人文科学试验班[1-2]班,2024人文科学试验班1班,2024汉语言文学（古文字学方向）强基班1班,2024宗教学1班,......",30,,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 世纪馆B208; 2: 3周, 单双周,星期日, 7-8节, 世纪馆B208;",
,7,2526121000656005,篮球13,21000656,篮球,1,体育部,公共体育,王忠瑞,"2024古典学拔尖班1班,2024哲学强基班1班,2024明德书院人文科学试验班[1-2]班,2024人文科学试验班1班,2024汉语言文学（古文字学方向）强基班1班,2024宗教学1班,......",28,,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 室外篮球场篮球场; 2: 3周, 单双周,星期日, 7-8节, 室外篮球场篮球场;",
,8,2526121000656006,篮球14,21000656,篮球,1,体育部,公共体育,杨宏峰,"2024古典学拔尖班1班,2024哲学强基班1班,2024明德书院人文科学试验班[1-2]班,2024人文科学试验班1班,2024汉语言文学（古文字学方向）强基班1班,2024宗教学1班,......",28,,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 世纪馆B206; 2: 3周, 单双周,星期日, 7-8节, 世纪馆B206;",
,9,2526121000656007,篮球15,21000656,篮球,1,体育部,公共体育,曹宇,"2025中意美三学位管理学战略人才班1班,2025“新媒体与数据管理”创新人才班1班,商学院2025级本科[1-6]班,2025公共管理类（行政、土地、城市）[1-3]班,2025“资源与......",30,0,"1: 1-16周, 单双周,星期五, 1-2节, 世纪馆B206;",
,10,2526121000656008,篮球16,21000656,篮球,1,体育部,公共体育,杜金萍,"2025涉外法治战略人才班1班,2024经济学（中国特色经济学方向）拔尖班1班,2025“涉外法治”创新人才班1班,2025社会科学基础理论拔尖人才班1班,2024国民经济管理1班,202......",28,0,"1: 1-4,6-16周, 单双周,星期三, 1-2节, 世纪馆B208; 2: 5周, 单双周,星期六, 1-2节, 世纪馆B208;",
,11,2526121000656009,篮球17,21000656,篮球,1,体育部,公共体育,姜文生,"2025涉外法治战略人才班1班,2024经济学（中国特色经济学方向）拔尖班1班,2025“涉外法治”创新人才班1班,2025社会科学基础理论拔尖人才班1班,2024国民经济管理1班,202......",28,0,"1: 1-4,6-16周, 单双周,星期三, 1-2节, 室外篮球场篮球场; 2: 5周, 单双周,星期六, 1-2节, 室外篮球场篮球场;",
,12,2526121000656010,篮球18,21000656,篮球,1,体育部,公共体育,林乐方,"2025涉外法治战略人才班1班,2024经济学（中国特色经济学方向）拔尖班1班,2025“涉外法治”创新人才班1班,2025社会科学基础理论拔尖人才班1班,2024国民经济管理1班,202......",28,0,"1: 1-4,6-16周, 单双周,星期三, 1-2节, 世纪馆B206; 2: 5周, 单双周,星期六, 1-2节, 世纪馆B206;",
,13,2526121000656011,篮球19,21000656,篮球,1,体育部,公共体育,曹宇,"2025“智农”创新人才班1班,2025“统计与国土治理”创新人才班1班,2025人力资源管理类[1-4]班,2025公共管理类（行政、土地、城市）[1-3]班,2025级求是书院社会科学......",26,,"1: 1-16周, 单双周,星期五, 3-4节, 世纪馆B206;",
,14,2526121000656012,篮球2,21000656,篮球,1,体育部,公共体育,杨宏峰,"2025理科试验班[1-2]班,2025“金融学—数学”创新人才班1班,2025级“金融科技”创新人才班[1-2]班,2025数学拔尖班1班,2025“智农”创新人才班1班,2025图灵计......",30,,"1: 1-16周, 单双周,星期一, 1-2节, 世纪馆B206;",
,15,2526121000656013,篮球20,21000656,篮球,1,体育部,公共体育,杜金萍,"2025历史政治学拔尖人才班1班,2025国际新闻传播战略人才班1班,2025“传播学-公共管理”双学士学位复合型人才培养项目1班,2025新闻传播学类[1-2]班（留学生）,2024级本......",30,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 世纪馆B208; 2: 5周, 单双周,星期六, 3-4节, 世纪馆B208;",
,16,2526121000656014,篮球21,21000656,篮球,1,体育部,公共体育,姜文生,"2025历史政治学拔尖人才班1班,2025国际新闻传播战略人才班1班,2025“传播学-公共管理”双学士学位复合型人才培养项目1班,2025新闻传播学类[1-2]班（留学生）,2024级本......",32,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 室外篮球场篮球场; 2: 5周, 单双周,星期六, 3-4节, 室外篮球场篮球场;",
,17,2526121000656015,篮球22,21000656,篮球,1,体育部,公共体育,林乐方,"2025历史政治学拔尖人才班1班,2025国际新闻传播战略人才班1班,2025“传播学-公共管理”双学士学位复合型人才培养项目1班,2025新闻传播学类[1-2]班（留学生）,2024级本......",30,,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 世纪馆B206; 2: 5周, 单双周,星期六, 3-4节, 世纪馆B206;",
,18,2526121000656016,篮球23,21000656,篮球,1,体育部,公共体育,姜文生,"2024明德环境“经济学-科学”实验班1班,2024心理学拔尖班1班,2024“金融学-数学”双学士学位1班,2024资源与环境经济学1班,2024“财政学-数学”双学士学位1班,2024......",30,,"1: 1-16周, 单双周,星期四, 1-2节, 世纪馆B208;",
,19,2526121000656017,篮球24,21000656,篮球,1,体育部,公共体育,姜文生,"2024理科试验班1班,2024数学拔尖班1班,2024人工智能拔尖班[1-2]班,2024信息管理与信息系统拔尖人才实验班1班,2024“经济学-数学”双学士学位1班,2024级理科试验......",28,0,"1: 1-16周, 单双周,星期四, 3-4节, 世纪馆B208;",
,20,2526121000656018,篮球25,21000656,篮球,1,体育部,公共体育,高富贵,"2024国际新闻全英文实验班1班,2024全球治理与国际事务实验班1班,2024法学-劳动关系（全球劳动治理）实验班1班,2024涉外法治人才协同培养创新基地班1班,2024数字社会与数据......",26,,"1: 1-16周, 单双周,星期四, 7-8节, 室外篮球场篮球场;",
,21,2526121000656019,篮球26,21000656,篮球,1,体育部,公共体育,姜文生,"2024国际新闻全英文实验班1班,2024全球治理与国际事务实验班1班,2024法学-劳动关系（全球劳动治理）实验班1班,2024涉外法治人才协同培养创新基地班1班,2024数字社会与数据......",30,,"1: 1-16周, 单双周,星期四, 7-8节, 世纪馆B208;",
,22,2526121000656020,篮球27,21000656,篮球,1,体育部,公共体育,杜金萍,"2025中意美三学位管理学战略人才班1班,2025“新媒体与数据管理”创新人才班1班,商学院2025级本科[1-6]班,2025公共管理类（行政、土地、城市）[1-3]班,2025“资源与......",30,,"1: 1-16周, 单双周,星期五, 1-2节, 世纪馆B208;",
,23,2526121000656021,篮球28,21000656,篮球,1,体育部,公共体育,高富贵,"2025中意美三学位管理学战略人才班1班,2025“新媒体与数据管理”创新人才班1班,商学院2025级本科[1-6]班,2025公共管理类（行政、土地、城市）[1-3]班,2025“资源与......",31,0,"1: 1-16周, 单双周,星期五, 1-2节, 拳道馆篮球厅;",
,24,2526121000656022,篮球29,21000656,篮球,1,体育部,公共体育,杜金萍,"2025“智农”创新人才班1班,2025“统计与国土治理”创新人才班1班,2025人力资源管理类[1-4]班,2025公共管理类（行政、土地、城市）[1-3]班,2025级求是书院社会科学......",28,,"1: 1-16周, 单双周,星期五, 3-4节, 世纪馆B208;",
,25,2526121000656023,篮球3,21000656,篮球,1,体育部,公共体育,杜金萍,"2025生态经济拔尖人才班1班,2025“国民经济—数据科学”创新人才班1班,2025化学拔尖人才实验班1班,2025严济慈物理学拔尖人才班1班,2025数据计算及应用（智能科学）拔尖人才......",32,0,"1: 1-16周, 单双周,星期一, 3-4节, 世纪馆B208;",
,26,2526121000656024,篮球4,21000656,篮球,1,体育部,公共体育,杨宏峰,"2025生态经济拔尖人才班1班,2025“国民经济—数据科学”创新人才班1班,2025化学拔尖人才实验班1班,2025严济慈物理学拔尖人才班1班,2025数据计算及应用（智能科学）拔尖人才......",30,0,"1: 1-16周, 单双周,星期一, 3-4节, 世纪馆B206;",
,27,2526121000656025,篮球5,21000656,篮球,1,体育部,公共体育,杨宏峰,"2025新时代经济学拔尖人才班1班,2025级本科金融学类[1-4]班,2025经济学类[1-4]班,2025级本科财税班",30,,"1: 1-16周, 单双周,星期一, 7-8节, 世纪馆B208;",
,28,2526121000656026,篮球6,21000656,篮球,1,体育部,公共体育,林乐方,"2025中国古典学拔尖人才班1班,2024法学-劳关（全球劳动治理）实验班1班,2024人力资源管理类[1-5]班,商学院2024级本科[1-6]班,2024求是书院社会科学试验班（管理学......",28,0,"1: 1-4,6-16周, 单双周,星期二, 1-2节, 世纪馆B208; 2: 3周, 单双周,星期日, 1-2节, 世纪馆B208;",
,29,2526121000656027,篮球7（第3周起关闭）,21000656,篮球,1,体育部,公共体育,王忠瑞,"2025中国古典学拔尖人才班1班,2024法学-劳关（全球劳动治理）实验班1班,2024人力资源管理类[1-5]班,商学院2024级本科[1-6]班,2024求是书院社会科学试验班（管理学......",28,0,"1: 1-4,6-16周, 单双周,星期二, 1-2节, 室外篮球场篮球场; 2: 3周, 单双周,星期日, 1-2节, 室外篮球场篮球场;",
,30,2526121000656028,篮球8,21000656,篮球,1,体育部,公共体育,杨宏峰,"2025中国古典学拔尖人才班1班,2024法学-劳关（全球劳动治理）实验班1班,2024人力资源管理类[1-5]班,商学院2024级本科[1-6]班,2024求是书院社会科学试验班（管理学......",28,0,"1: 1-4,6-16周, 单双周,星期二, 1-2节, 世纪馆B206; 2: 3周, 单双周,星期日, 1-2节, 世纪馆B206;",
,31,2526121000656029,篮球9,21000656,篮球,1,体育部,公共体育,林乐方,"2025人文科学试验班[1-2]班,2024农业经济管理类1班,2024马克思主义理论1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024中国古典学1班,202421......",28,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 世纪馆B208; 2: 3周, 单双周,星期日, 3-4节, 世纪馆B208;",
,32,2526121000662002,劳动经济学02班,21000662,劳动经济学,2,经济学院,个性化选修,"宋扬,宋扬,宋扬","2022经济社会历史科学实验班（ESH）[1-2]班,2022经济学、社会学与历史学实验班（ESH实验班）,劳动人事学院|2024|*|可选,劳动人事学院|2022|*|可选,劳动人事学院......",20,5,"1: 11-13周, 单双周,星期四, 3-4节, 明商0206; 2: 13周, 单双周,星期六, 7-8节, 明商0206; 3: 1-10,14-16周, 单双周,星期四, 3-4节, 明商0206; 4: 15周, 单双周,星期六, 7-8节, 明国0305; 5: 9周, 单双周,星期六, 7-8节, 明商0206;",
